Data,Produto,Inicial,Vendidos,Quebra,% Quebra,Estoque Final,Filial,Lucro Bruto
2025-05-01,FAGOTTO DE CALABRESA COM CHEDDAR,,300.0,147.0,32.89,,1,520.6199999999999
2025-05-01,FAGOTTO DE CARNE,,14.0,13.0,48.15,,1,-9.72
2025-05-01,FOLHADO DE PRESUNTO E QUEIJO,,25.0,12.0,32.43,,1,66.6
2025-05-01,CACHORRO QUENTE DE FORNO 160G,,0.0,6.0,100.0,,1,-36.72
2025-05-01,PAO DE QUEIJO SUPER LANCHE,,28.0,14.0,33.33,,1,32.900000000000006
2025-05-01,RISOLES DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-05-01,TORTINHA DE CARNE 100G,,0.0,0.0,0.0,,1,0.0
2025-05-01,PASTEL DE NATA 60G,,0.0,0.0,0.0,,1,0.0
2025-05-01,EMPANADA DE FRANGO 140G,,2.0,2.0,50.0,,1,1.7800000000000011
2025-05-01,EMPADA DE FRANGO,,3.0,4.0,57.14,,1,-2.509999999999998
2025-05-01,PAO DE QUEIJO LANCHE JA ASSADO 60G,,0.0,2.0,100.0,,1,-5.4
2025-05-01,COXINHA DE FRANGO COM REQUEIJAO,,13.0,12.0,48.0,,1,23.620000000000005
2025-05-01,MEDIALUNA DE MANTEIGA 40G,,0.0,0.0,0.0,,1,0.0
2025-05-01,FOLHADO DE PEITO DE PERU COM QUEIJO,,17.0,11.0,39.29,,1,39.910000000000025
2025-05-01,DONUT DE CHOCOLATE AO LEITE 75G,,1.0,0.0,0.0,,1,4.69
2025-05-01,DONUT CRCTE DOCE DE LEITE 75G,,24.0,13.0,35.14,,1,43.66
2025-05-01,DONUT FRUTAS VERMELHAS 75G,,0.0,0.0,0.0,,1,0.0
2025-06-01,EMPADA DE CARNE,,0.0,0.0,0.0,,1,0.0
2025-06-01,BAGUETE DE PRESUNTO E QUEIJO,,0.0,0.0,0.0,,1,0.0
2025-06-01,PAO DE QUEIJO JA ASSADO RECHEADO 60G,,0.0,0.0,0.0,,1,0.0
2025-06-01,EMPADA FOLHADA DE FRANGO COM REQUEIJAO,,0.0,0.0,0.0,,1,0.0
2025-06-01,EMPADA FOLHADA MULTIGRAOS DE ALHO PORO,,0.0,0.0,0.0,,1,0.0
2025-06-01,DONUT BALL NEVADA COM DOCE DE LEITE,,0.0,0.0,0.0,,1,0.0
2025-06-01,BAGUETE DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-06-01,PAO DE QUEIJO MULTIGRAOS,,0.0,0.0,0.0,,1,0.0
2025-06-01,FAGOTTO DE CALABRESA COM CHEDDAR,,293.0,71.0,19.51,,1,910.5100000000002
2025-06-01,FAGOTTO DE CARNE,,19.0,14.0,42.42,,1,6.990000000000009
2025-06-01,FOLHADO DE PRESUNTO E QUEIJO,,32.0,1.0,3.03,,1,156.33
2025-06-01,CACHORRO QUENTE DE FORNO 160G,,0.0,4.0,100.0,,1,-24.48
